"Date Added",Title,Type,"Item Link","Local Control Number",ISBN10,ISBN13,ISSN,EISSN,DOI,Importance,"Note for Student","Part of"
"18/09/2025 12:29:43","Flight dynamics principles : a linear systems approach to aircraft stability and control",Book,http://readinglists.bris.ac.uk/items/3c31d98e-7e7a-452e-add1-b628cdb3b1c6.html,818173505,008098276X,9780080982762,,,,Recommended,,
"18/09/2025 12:36:16","Aircraft control and simulation : dynamics, controls design, and autonomous systems",Book,http://readinglists.bris.ac.uk/items/e44145e5-7fba-49c5-9ce1-fb319c83f843.html,923850079,"1119174880 1118870999 1118870972","9781119174882 9781118870990 9781118870976",,,,Recommended,,
"18/09/2025 12:33:08","Dynamics of Atmospheric Flight",Book,http://readinglists.bris.ac.uk/items/4420bddf-cc7a-41aa-86f5-f3c7c0e0cbe5.html,868272500,"1306353823 0486141659","9781306353823 9780486141657",,,,Further,,
"18/09/2025 12:34:04","Automatic Flight Control Systems",Article,http://readinglists.bris.ac.uk/items/d2334be7-99f9-4a58-9eea-6dbeee47626f.html,,,,0020-2940,,,Further,,"Measurement and control."
"18/09/2025 12:34:36","Helicopter performance, stability, and control",Book,http://readinglists.bris.ac.uk/items/bac1e8ee-b8e6-4ead-a8d1-2cf56187e049.html,1052821218,1575242095,9781575242095,,,,Further,,
"18/09/2025 12:34:57","Performance and stability of aircraft",Book,http://readinglists.bris.ac.uk/items/0ada8d61-bc19-4c08-84a0-3f34c57caa75.html,191803270,0080538649,9780080538648,,,,Further,,
"18/09/2025 12:35:17","Small Unmanned Aircraft : Theory and Practice",Book,http://readinglists.bris.ac.uk/items/bf0043d5-8cb5-4ba7-8afb-0a74bb9d2de3.html,769927217,"1400840600 168015902X","9781400840601 9781680159028",,,,Further,,
"18/09/2025 12:37:34","Modern control systems : global edition",Book,http://readinglists.bris.ac.uk/items/098aa7ea-677c-4120-9164-c22e6ca520fd.html,1276858236,1292422351,9781292422350,,,,Recommended,,
"24/06/2026 06:03:35","Control Tutorials for MATLAB and Simulink",Webpage,http://readinglists.bris.ac.uk/items/979afd7a-ff5a-49f1-ad8e-986a9114de80.html,,,,,,,Recommended,,
"24/06/2026 06:03:10","MATLAB Academy: Control Design Onramp",Document,http://readinglists.bris.ac.uk/items/e6d7cbaf-349d-443c-85b6-685ada5326e4.html,,,,,,,Recommended,,
"24/06/2026 06:03:24","MATLAB Academy: Control Systems course list",Webpage,http://readinglists.bris.ac.uk/items/65aea800-0678-4fe8-9eb8-2d127d7d9fa4.html,,,,,,,Further,,
"18/09/2025 12:38:07","Control systems engineering",Book,http://readinglists.bris.ac.uk/items/6a61a26a-a55a-4c59-b01d-90fd3723f80d.html,1054262255,"1119474213 1119590132 1119590175 1119561884 1119721407","9781119474210 9781119590132 9781119590170 9781119561880 9781119721406",,,,Further,,
"18/09/2025 12:40:16","Modern control engineering",Book,http://readinglists.bris.ac.uk/items/487ea74a-5f32-44cf-94e3-f88b5f90d399.html,466620227,"0137133375 0136156738","9780137133376 9780136156734",,,,Further,,
"18/09/2025 12:53:28","Feedback Control of Dynamic Systems, Global Edition",Book,http://readinglists.bris.ac.uk/items/6b22f2fb-6456-4bb5-8a10-2a862644a411.html,1024268749,1292068914,9781292068916,,,,Further,,
"18/09/2025 13:05:44","Control System Lectures",Webpage,http://readinglists.bris.ac.uk/items/702c23d8-e618-4dc8-8b96-0d80dfec866b.html,,,,,,,Recommended,,
"18/09/2025 13:17:53","Control Bootcamp",Webpage,http://readinglists.bris.ac.uk/items/78aee3f5-6869-4803-bedb-8f96f0ca226e.html,,,,,,,Recommended,,
